filename,DensityFeatures__vpa,DensityFeatures__packing fraction,GlobalSymmetryFeatures__spacegroup_num,GlobalSymmetryFeatures__n_symmetry_ops,ChemicalOrdering__mean ordering parameter shell 1,ChemicalOrdering__mean ordering parameter shell 3,MaximumPackingEfficiency__max packing efficiency,StructuralComplexity__structural complexity per atom,StructuralComplexity__structural complexity per cell,AtomicOrbitals__HOMO_energy,AtomicOrbitals__LUMO_energy,AtomicPackingEfficiency__mean simul. packing efficiency,AtomicPackingEfficiency__mean abs simul. packing efficiency,AtomicPackingEfficiency__dist from 1 clusters |APE| < 0.010,CohesiveEnergy__cohesive energy,ElectronegativityDiff__std_dev EN difference,ElementProperty_magpie__MagpieData mode MendeleevNumber,ElementProperty_magpie__MagpieData minimum AtomicWeight,ElementProperty_magpie__MagpieData maximum Row,ElementProperty_magpie__MagpieData mean Electronegativity,ElementProperty_magpie__MagpieData mean NsValence,ElementProperty_magpie__MagpieData avg_dev NsValence,ElementProperty_magpie__MagpieData avg_dev NpValence,ElementProperty_magpie__MagpieData maximum NdValence,ElementProperty_magpie__MagpieData avg_dev NdValence,ElementProperty_magpie__MagpieData mode NdValence,ElementProperty_magpie__MagpieData mean NfValence,ElementProperty_magpie__MagpieData avg_dev NfValence,ElementProperty_magpie__MagpieData avg_dev NValence,ElementProperty_magpie__MagpieData range NpUnfilled,ElementProperty_magpie__MagpieData avg_dev NpUnfilled,ElementProperty_magpie__MagpieData mode NpUnfilled,ElementProperty_magpie__MagpieData maximum NdUnfilled,ElementProperty_magpie__MagpieData minimum NUnfilled,ElementProperty_magpie__MagpieData avg_dev NUnfilled,ElementProperty_magpie__MagpieData mode NUnfilled,ElementProperty_magpie__MagpieData minimum GSvolume_pa,ElementProperty_magpie__MagpieData mode GSvolume_pa,ElementProperty_magpie__MagpieData avg_dev GSbandgap,ElementProperty_magpie__MagpieData mode GSbandgap,ElementProperty_magpie__MagpieData minimum SpaceGroupNumber,ElementProperty_magpie__MagpieData maximum SpaceGroupNumber,ElementProperty_magpie__MagpieData mode SpaceGroupNumber,ElementProperty_matminer__PymatgenData maximum block,ElementProperty_matminer__PymatgenData std_dev electrical_resistivity,ElementProperty_matminer__PymatgenData minimum velocity_of_sound,ElementProperty_matminer__PymatgenData maximum velocity_of_sound,ElementProperty_matminer__PymatgenData mean thermal_conductivity,ElementProperty_matminer__PymatgenData std_dev thermal_conductivity,ElementProperty_matminer__PymatgenData minimum bulk_modulus,ElementProperty_matminer__PymatgenData range bulk_modulus,ElementProperty_matminer__PymatgenData minimum coefficient_of_linear_thermal_expansion,ElementProperty_matminer__PymatgenData range coefficient_of_linear_thermal_expansion,ElementProperty_mp_transport__TransportData maximum sigma_n,ElementProperty_mp_transport__TransportData mode S_p,ElementProperty_mp_transport__TransportData maximum S_n,ElementProperty_mp_transport__TransportData maximum PF_n,ElementProperty_mp_transport__TransportData maximum m_p,ElementProperty_mp_transport__TransportData minimum m_n,ElementProperty_mp_transport__TransportData mode m_n,Miedema__Miedema_deltaH_ss_min,OxidationStates_deml__minimum oxidation state,OxidationStates_deml__maximum oxidation state,WenAlloys__Radii local mismatch,WenAlloys__Total weight,WenAlloys__Lambda entropy,WenAlloys__Electronegativity local mismatch,WenAlloys__Mixing enthalpy,WenAlloys__Interant electrons,WenAlloys__Interant s electrons,WenAlloys__Interant d electrons,WenAlloys__Shear modulus mean
Cs4PbBr6,43.85571754,0.740323267,167,36,0.690096511,0.302039257,0.432783453,1.617189573,106.7345118,-0.295334,-0.141831,-0.014916924,0.015936241,0.017007534,3.016766146,1.088944443,95,79.904,6,2.113636364,1.636363636,0.462809917,2.280991736,10,4.628099174,10,1.272727273,2.314049587,8.132231405,4,0.661157025,1,0,1,0.495867769,1,28.11,29.48,0.722479339,1.457,64,229,64,2,51808470804.0,1260.0,3505.7375,16.33818182,23.70178449,1.6,44.4,1.63e-05,1.26e-05,143338.1374,799.3423707,-162.4705406,22.55550469,0.001643421,-0.000469544,-0.000469544,0.46234802,-1.0,2.0,25.82592321,7309.474846,-0.108306871,0.490469829,17.39197706,8,1,0,29.62758655
Cs4PbCl6,38.58673192,0.810571772,167,36,0.69128499,0.301097629,0.431645047,1.617189573,106.7345118,-0.32038,-0.141831,-0.014916924,0.015936241,0.017007534,3.33686431,1.088944443,94,35.453,6,2.222727273,1.636363636,0.462809917,2.280991736,10,1.652892562,0,1.272727273,2.314049587,4.165289256,4,0.661157025,1,0,1,0.495867769,1,24.4975,24.4975,1.236198347,2.493,64,229,64,2,6.642111505,206.0,3505.7375,16.27758182,23.77556988,1.1,44.9,1.63e-05,1.26e-05,143338.1374,778.0546601,-162.4705406,22.55550469,0.001643421,-0.000568144,-0.000568144,0.46234802,-1.0,2.0,25.82592321,5709.238846,-0.108306871,0.490469829,17.39197706,8,1,0,29.62758655
Cs4PbI6,52.89772738,0.666607041,167,36,0.688077956,0.300509521,0.43512471,1.617189573,106.7345118,-0.267904,-0.141831,-0.014916924,0.015936241,0.017007534,2.61122451,1.088944443,96,126.90447,6,1.95,1.636363636,0.462809917,2.280991736,10,4.628099174,10,1.272727273,2.314049587,8.132231405,4,0.661157025,1,0,1,0.495867769,1,28.11,43.015,0.52661157,1.062,64,229,64,2,8634745.134,1260.0,3505.7375,16.51763636,23.48328443,1.6,44.4,1.63e-05,1.26e-05,143338.1374,763.0549179,-162.4705406,22.55550469,0.001643421,-0.000457883,-0.000457883,0.46234802,-1.0,2.0,25.82592321,9001.491766,-0.108306871,0.490469829,17.39197706,8,1,0,29.62758655
Cs5Cu3Cl6I2,33.86069721,0.825347907,63,16,0.703696028,0.262892989,0.347415308,2.875,184.0,-0.202272,-0.172056,0.020919672,0.032659525,0.05273823,0.0,0.784888527,94,35.453,6,2.120625,1.5,0.5,2.5,10,4.296875,0,0.0,0.0,3.921875,1,0.5,1,0,1,0.0,1,11.07,24.4975,1.06903125,2.493,64,229,64,3,5099017.833,206.0,3570.0,86.3094625,179.6923453,1.1,138.9,1.63e-05,2.24e-07,245774.7901,778.0546601,361.6966514,25.65267379,0.001643421,-0.000568144,-0.000568144,0.734014415,-1.0,1.0,27.90872231,5286.768798,-0.117850869,0.512272046,10.30424753,12,2,0,35.15735017
CsCl,43.11619332,0.902340407,225,192,1.0,1.0,0.523598776,1.0,8.0,-0.32038,-0.078699,0.024102098,0.024102098,0.0,3.357803775,0.0,5,35.453,6,1.975,1.5,0.5,2.5,0,0.0,0,0.0,0.0,3.0,1,0.5,0,0,1,0.0,1,24.4975,24.4975,1.2465,0.0,64,229,64,2,7.071067667,206.0,3505.7375,18.00445,25.44955087,1.1,0.5,1.63e-05,0.0,16219.15232,631.2342167,-363.1359658,10.4397984,0.001643421,-0.000568144,-0.000568144,0.630603143,-1.0,1.0,27.54113924,673.4338076,-0.082901473,0.525650685,14.20357686,6,1,0,26.81678767
CsCu2Cl3,26.25938732,0.677856236,63,16,0.581113247,0.186091666,0.348450471,1.918295834,46.03910002,-0.202272,-0.172056,-0.026154289,0.029464042,0.024944383,3.252337232,0.784888527,94,35.453,6,2.345,1.5,0.5,2.5,10,4.444444444,0,0.0,0.0,2.444444444,1,0.5,1,0,1,0.0,1,11.07,24.4975,1.2465,2.493,64,229,64,3,6.39602144,206.0,3570.0,139.3377833,236.3390629,1.1,138.9,1.63e-05,2.24e-07,245774.7901,778.0546601,361.6966514,25.65267379,0.001643421,-0.000568144,-0.000568144,0.660564448,-1.0,1.0,21.48628692,1465.425808,-0.101519016,0.380338661,7.981354642,7,2,0,41.64445434
CsCu2I3,36.80984516,0.582798281,63,16,0.559559822,0.204892164,0.36390072,1.918295834,46.03910002,-0.202272,-0.172056,-0.026154289,0.029464042,0.024944383,2.660560222,0.784888527,96,63.546,6,2.095,1.5,0.5,2.5,10,2.777777778,10,0.0,0.0,4.666666667,1,0.5,1,0,1,0.0,1,11.07,43.015,0.531,1.062,64,229,64,3,8314827.938,3505.7375,3570.0,139.5578333,236.1268564,1.6,138.4,1.63e-05,2.24e-07,245774.7901,763.0549179,361.6966514,25.65267379,0.001643421,-0.000457883,-0.000457883,0.660564448,-1.0,1.0,21.48628692,2562.843448,-0.101519016,0.380338661,7.981354642,7,2,0,41.64445434
CsEuBr3,40.43499934,0.589864752,62,8,0.642793784,0.176531066,0.409462223,1.921928095,38.4385619,-0.232773,-0.232773,0.02872968,0.028794671,0.044536177,3.556677775,0.28991378,95,79.904,6,2.171,1.8,0.32,2.4,10,4.8,10,1.4,2.24,5.76,1,0.48,1,0,1,1.92,1,29.48,29.48,0.69936,1.457,64,229,64,3,51062986315.0,3505.7375,3505.7375,10.072,18.75421172,1.6,6.7,1.63e-05,1.87e-05,140883.8962,799.3423707,592.4025881,44.88734787,0.001643421,-0.000469544,-0.000469544,0.496087052,-1.0,2.0,20.99949367,2098.325808,-0.144694514,0.404624658,11.07543379,13,1,0,33.09854521
CsEuCl3,35.75046005,0.630539556,221,48,0.663024806,0.234888791,0.44691951,1.370950594,6.854752972,-0.232773,-0.232773,0.02872968,0.028794671,0.044536177,3.975097456,0.28991378,94,35.453,6,2.291,1.8,0.32,2.4,0,0.0,0,1.4,2.24,2.08,1,0.48,1,0,1,1.92,1,24.4975,24.4975,1.19664,2.493,64,229,64,3,6.546536345,206.0,3505.7375,10.00534,18.81741305,1.1,7.2,1.63e-05,1.87e-05,140883.8962,778.0546601,592.4025881,44.88734787,0.001643421,-0.000568144,-0.000568144,0.496087052,-1.0,2.0,20.99949367,391.2284519,-0.144694514,0.404624658,11.07543379,13,1,0,33.09854521
CsGeI3,45.00181558,0.51680372,160,18,0.653395008,0.230920207,0.371802319,1.370950594,20.56425892,-0.267904,-0.149882,0.003173691,0.021403372,0.020412415,2.666408594,0.862670273,96,72.64,6,2.156,1.8,0.32,1.92,10,3.2,10,0.0,0.0,4.88,4,1.04,1,0,1,0.96,1,23.005,43.015,0.41784,1.062,64,229,64,2,8510497.719,3505.7375,5400.0,19.4694,32.73986823,1.6,89.1942029,6e-06,1.03e-05,112438.0625,763.0549179,-114.8107851,20.35038171,0.001643421,-0.000457883,-0.000457883,0.260006604,-1.0,2.0,24.0,1758.776586,-0.087453123,0.416,16.75543379,8,1,0,39.76934521
CsI,59.55115965,0.714647855,225,192,1.0,1.0,0.523598776,1.0,8.0,-0.267904,-0.078699,0.024102098,0.024102098,0.0,2.686146057,0.0,5,126.90447,6,1.725,1.5,0.5,2.5,10,5.0,0,0.0,0.0,8.0,1,0.5,0,0,1,0.0,1,43.015,43.015,0.531,0.0,64,229,64,2,9192388.155,3505.7375,3505.7375,18.2245,25.13835318,1.6,6.1,1.63e-05,0.0,16219.15232,631.2342167,-363.1359658,10.4397984,0.001643421,-0.000457883,-0.000457883,0.630603143,-1.0,1.0,27.54113924,1039.239688,-0.082901473,0.525650685,14.20357686,6,1,0,26.81678767
CsMnBr3,33.14916384,0.628842986,194,24,0.608908999,0.213587892,0.423774132,1.370950594,13.70950594,-0.26654,-0.26654,-0.012197232,0.012197232,0.032536151,3.044558126,0.537401154,95,54.938045,6,2.244,1.8,0.32,2.4,10,3.6,10,0.0,0.0,6.24,1,0.48,1,5,1,1.28,1,10.48758621,29.48,0.69936,1.457,64,229,64,3,51062986315.0,3505.7375,5150.0,8.832,18.58246178,1.6,118.4,1.63e-05,5.42e-06,154367.6018,799.3423707,435.9231652,17.63882657,0.001643421,-0.000469544,-0.000469544,0.675888293,-1.0,2.0,21.12,855.1109938,-0.105122847,0.4,2.27543379,11,1,5,47.22534521
CsMnCl3,28.15436793,0.693907161,166,36,0.632174328,0.225969053,0.422931143,2.289246429,103.0160893,-0.26654,-0.26654,-0.012197232,0.012197232,0.032536151,3.44029332,0.537401154,94,35.453,6,2.364,1.8,0.32,2.4,5,1.6,0,0.0,0.0,1.92,1,0.48,1,5,1,1.28,1,10.48758621,24.4975,1.19664,2.493,64,229,64,3,6.546536169,206.0,5150.0,8.76534,18.63832755,1.1,118.9,1.63e-05,5.42e-06,154367.6018,778.0546601,435.9231652,17.63882657,0.001643421,-0.000568144,-0.000568144,0.675888293,-1.0,2.0,21.12,2647.822472,-0.105122847,0.4,2.27543379,11,1,5,47.22534521
CsNiBr3,31.03252693,0.66407773,194,24,0.606936035,0.223034969,0.409900167,1.370950594,13.70950594,-0.295334,-0.295334,0.009125317,0.009125317,0.032536151,3.076895053,0.791959595,95,58.6934,6,2.316,1.8,0.32,2.4,10,3.04,10,0.0,0.0,5.52,1,0.48,1,2,1,0.32,1,10.32,29.48,0.69936,1.457,64,229,64,3,51062986315.0,3505.7375,4970.0,25.472,47.55796944,1.6,178.4,1.34e-05,2.88e-06,252632.9948,799.3423707,160.0946691,22.34306672,0.001643421,-0.000469544,-0.000469544,0.574632832,-1.0,2.0,22.08,862.6217038,-0.099146439,0.52,5.95543379,14,1,8,46.93134521
CsNiCl3,26.73323364,0.721906996,194,24,0.607732274,0.227514421,0.403555209,1.370950594,13.70950594,-0.32038,-0.32038,0.009125317,0.009125317,0.032536151,3.464046545,0.791959595,94,35.453,6,2.436,1.8,0.32,2.4,8,2.56,0,0.0,0.0,2.16,1,0.48,1,2,1,0.32,1,10.32,24.4975,1.19664,2.493,64,229,64,3,6.546536617,206.0,4970.0,25.40534,47.62143776,1.1,178.9,1.34e-05,2.88e-06,252632.9948,778.0546601,160.0946691,22.34306672,0.001643421,-0.000568144,-0.000568144,0.574632832,-1.0,2.0,22.08,595.9157038,-0.099146439,0.52,5.95543379,14,1,8,46.93134521
CsPb2Br5,35.49895601,0.543443295,140,32,0.584196144,0.100041458,0.433710153,1.75,56.0,-0.295334,-0.141831,0.011256039,0.014406465,0.020335094,2.871450879,1.088944443,95,79.904,6,2.53125,1.875,0.21875,1.71875,10,2.1875,10,3.5,5.25,5.125,4,1.1875,1,0,1,1.125,1,28.11,29.48,0.68296875,1.457,64,229,64,2,51808470804.0,1260.0,3505.7375,13.325,23.39244222,1.6,44.4,1.63e-05,1.26e-05,143338.1374,799.3423707,-162.4705406,22.55550469,0.001643421,-0.000469544,-0.000469544,-0.04135607,-1.0,2.0,14.56981804,3787.301808,-0.176389539,0.238859161,16.44085331,8,1,0,34.54648459
CsPbBr3-1,38.46035879,0.609266703,62,8,0.646414304,0.138451262,0.424949524,2.321928095,46.4385619,-0.295334,-0.141831,-0.025326956,0.025326956,0.034015067,2.933169591,1.088944443,95,79.904,6,2.4,1.8,0.32,1.92,10,3.2,10,2.8,4.48,6.0,4,1.04,1,0,1,0.96,1,28.11,29.48,0.69936,1.457,64,229,64,2,51062986315.0,1260.0,3505.7375,14.272,23.16550144,1.6,44.4,1.63e-05,1.26e-05,143338.1374,799.3423707,-162.4705406,22.55550469,0.001643421,-0.000469544,-0.000469544,0.128425244,-1.0,2.0,19.23949367,2319.269808,-0.139790808,0.344,17.63543379,8,1,0,33.00054521
CsPbBr3-2,42.09989826,0.55659555,221,48,0.663024806,0.234888791,0.44691951,1.370950594,6.854752972,-0.295334,-0.141831,-0.025326956,0.025326956,0.034015067,2.933169591,1.088944443,95,79.904,6,2.4,1.8,0.32,1.92,10,3.2,10,2.8,4.48,6.0,4,1.04,1,0,1,0.96,1,28.11,29.48,0.69936,1.457,64,229,64,2,51062986315.0,1260.0,3505.7375,14.272,23.16550144,1.6,44.4,1.63e-05,1.26e-05,143338.1374,799.3423707,-162.4705406,22.55550469,0.001643421,-0.000469544,-0.000469544,0.128425244,-1.0,2.0,19.23949367,2319.269808,-0.139790808,0.344,17.63543379,8,1,0,33.00054521
CsPbCl3-2,35.1853606,0.628770431,99,8,0.662900699,0.233368531,0.4190152,1.921928095,9.609640474,-0.32038,-0.141831,-0.025326956,0.025326956,0.034015067,3.293597995,1.088944443,94,35.453,6,2.52,1.8,0.32,1.92,10,3.2,0,2.8,4.48,7.2,4,1.04,1,0,1,0.96,1,24.4975,24.4975,1.19664,2.493,64,229,64,2,6.546536572,206.0,3505.7375,14.20534,23.2382214,1.1,44.9,1.63e-05,1.26e-05,143338.1374,778.0546601,-162.4705406,22.55550469,0.001643421,-0.000568144,-0.000568144,0.128425244,-1.0,2.0,19.23949367,446.4644519,-0.139790808,0.344,17.63543379,8,1,0,33.00054521
CsPbCl3,36.64708163,0.603691027,221,48,0.663024806,0.234888791,0.44691951,1.370950594,6.854752972,-0.32038,-0.141831,-0.025326956,0.025326956,0.034015067,3.293597995,1.088944443,94,35.453,6,2.52,1.8,0.32,1.92,10,3.2,0,2.8,4.48,7.2,4,1.04,1,0,1,0.96,1,24.4975,24.4975,1.19664,2.493,64,229,64,2,6.546536572,206.0,3505.7375,14.20534,23.2382214,1.1,44.9,1.63e-05,1.26e-05,143338.1374,778.0546601,-162.4705406,22.55550469,0.001643421,-0.000568144,-0.000568144,0.128425244,-1.0,2.0,19.23949367,446.4644519,-0.139790808,0.344,17.63543379,8,1,0,33.00054521
CsPbI3-2,49.41977111,0.536357491,221,48,0.663024806,0.234888791,0.44691951,1.370950594,6.854752972,-0.267904,-0.141831,-0.025326956,0.025326956,0.034015067,2.496026745,1.088944443,96,126.90447,6,2.22,1.8,0.32,1.92,10,3.2,10,2.8,4.48,6.0,4,1.04,1,0,1,0.96,1,28.11,43.015,0.50976,1.062,64,229,64,2,8510497.719,1260.0,3505.7375,14.4694,22.95015656,1.6,44.4,1.63e-05,1.26e-05,143338.1374,763.0549179,-162.4705406,22.55550469,0.001643421,-0.000457883,-0.000457883,0.128425244,-1.0,2.0,19.23949367,720.8188619,-0.139790808,0.344,17.63543379,8,1,0,33.00054521
CsPbI3,46.54233291,0.569517314,62,8,0.649096875,0.135916586,0.428194077,2.321928095,46.4385619,-0.267904,-0.141831,-0.025326956,0.025326956,0.034015067,2.496026745,1.088944443,96,126.90447,6,2.22,1.8,0.32,1.92,10,3.2,10,2.8,4.48,6.0,4,1.04,1,0,1,0.96,1,28.11,43.015,0.50976,1.062,64,229,64,2,8510497.719,1260.0,3505.7375,14.4694,22.95015656,1.6,44.4,1.63e-05,1.26e-05,143338.1374,763.0549179,-162.4705406,22.55550469,0.001643421,-0.000457883,-0.000457883,0.128425244,-1.0,2.0,19.23949367,720.8188619,-0.139790808,0.344,17.63543379,8,1,0,33.00054521
CsSnBr3,39.15104657,0.538959314,62,8,0.65142884,0.1892676,0.41034792,1.921928095,38.4385619,-0.295334,-0.14445,-0.006980527,0.009101062,0.032536151,3.092884271,0.827314934,95,79.904,6,2.326,1.8,0.32,1.92,10,3.2,10,0.0,0.0,4.88,4,1.04,1,0,1,0.96,1,29.48,29.48,0.69936,1.457,64,229,64,2,51062986315.0,2500.0,3505.7375,20.672,36.09701848,1.6,56.4,1.63e-05,5.72e-06,126773.734,799.3423707,-65.59084956,18.72348504,0.001643421,-0.000469544,-0.000469544,0.140724165,-1.0,2.0,17.71949367,1965.309808,-0.126832705,0.352,14.75543379,8,1,0,35.60934521
CsSnCl3,34.46476983,0.574259444,221,48,0.663024806,0.234888791,0.44691951,1.370950594,6.854752972,-0.32038,-0.14445,-0.006980527,0.009101062,0.032536151,3.437787687,0.827314934,94,35.453,6,2.446,1.8,0.32,1.92,10,3.2,0,0.0,0.0,2.72,4,1.04,1,0,1,0.96,1,24.4975,24.4975,1.19664,2.493,64,229,64,2,6.546536604,206.0,3505.7375,20.60534,36.16480163,1.1,56.9,1.63e-05,5.72e-06,126773.734,778.0546601,-65.59084956,18.72348504,0.001643421,-0.000568144,-0.000568144,0.140724165,-1.0,2.0,17.71949367,357.9744519,-0.126832705,0.352,14.75543379,8,1,0,35.60934521
CsSnI3,45.52787562,0.530990504,62,8,0.631025349,0.127804627,0.418734285,2.321928095,46.4385619,-0.267904,-0.14445,-0.006980527,0.009101062,0.032536151,2.63633632,0.827314934,96,118.71,6,2.146,1.8,0.32,1.92,10,3.2,10,0.0,0.0,4.88,4,1.04,1,0,1,0.96,1,33.285,43.015,0.50976,1.062,64,229,64,2,8510497.719,2500.0,3505.7375,20.8694,35.89640611,1.6,56.4,1.63e-05,5.72e-06,126773.734,763.0549179,-65.59084956,18.72348504,0.001643421,-0.000457883,-0.000457883,0.140724165,-1.0,2.0,17.71949367,2529.315448,-0.126832705,0.352,14.75543379,8,1,0,35.60934521
CsYbI3,47.38348603,0.551051035,221,48,0.663024806,0.234888791,0.44691951,1.370950594,6.854752972,-0.267904,-0.136989,0.028874295,0.032595239,0.0,0.0,0.219203102,96,126.90447,6,2.006,1.8,0.32,2.4,10,4.8,10,2.8,4.48,5.04,1,0.48,1,0,0,0.32,1,34.12,43.015,0.50976,1.062,64,229,64,3,8510497.719,1590.0,3505.7375,15.2694,24.28867991,1.6,29.4,1.63e-05,1e-05,215620.3522,763.0549179,211.6784623,21.24714715,0.001643421,-0.000457883,-0.000457883,0.677894795,-1.0,2.0,20.51949367,686.6588619,-0.144555852,0.403024658,10.59543379,6,1,0,33.31434521
Cu,11.44599855,0.900401538,225,192,0.0,0.0,0.74048049,0.0,0.0,-0.172056,-0.172056,0.023994,0.023994,1.0,3.49,0.0,64,63.546,4,1.9,1.0,0.0,0.0,10,0.0,10,0.0,0.0,0.0,0,0.0,0,0,1,0.0,1,11.07,11.07,0.0,0.0,225,225,225,3,0.0,3570.0,3570.0,400.0,0.0,140.0,0.0,1.65e-05,0.0,245774.7901,-452.569845,361.6966514,25.65267379,0.000119055,0.000119058,0.000119058,0.0,0.0,0.0,0.0,254.184,0.0,0.0,1e-06,1,1,0,45.13
Cu1.43Te,0.0,0.0,59,8,0.0,0.0,0.566104283,1.584962501,9.509775004,-0.202272,-0.202272,-0.006256409,0.018028425,0.172266343,0.0,0.0,64,63.546,5,1.982304527,1.411522634,0.484343511,1.937374045,10,0.0,10,0.0,0.0,2.421717557,2,0.968687023,0,0,1,0.484343511,1,11.07,11.07,0.224735389,0.0,152,225,225,3,7.07e-05,2610.0,3570.0,236.6255144,280.7213921,65.0,75.0,1.63e-05,2.24e-07,245774.7901,-452.569845,361.6966514,25.65267379,0.000119055,-0.000893918,0.000119058,0.186985018,0.0,0.0,3.390404579,436.94156,-2.059949607,0.096238392,13.75882058,5,1,0,48.36315858
Cu1.4Te,0.0,0.0,129,16,0.0,0.0,0.574038357,1.584962501,9.509775004,-0.202272,-0.202272,-0.006626583,0.018096791,0.164991582,0.0,0.0,64,63.546,5,1.983333333,1.416666667,0.486111111,1.944444444,10,0.0,10,0.0,0.0,2.430555556,2,0.972222222,0,0,1,0.486111111,1,11.07,11.07,0.225555556,0.0,152,225,225,3,7.07e-05,2610.0,3570.0,234.5833333,280.7213921,65.0,75.0,1.63e-05,2.24e-07,245774.7901,-452.569845,361.6966514,25.65267379,0.000119055,-0.000893918,0.000119058,0.186877631,0.0,0.0,3.402777778,433.1288,-2.060118652,0.096589612,13.80903306,5,1,0,48.40357306
Cu1.8S,0.0,0.0,225,192,0.0,0.0,0.134577037,0.0,0.0,-0.202272,-0.202272,0.009573138,0.017360411,0.084179379,0.0,0.0,64,32.065,4,2.142857143,1.357142857,0.459183673,1.836734694,10,4.591836735,10,0.0,0.0,2.295918367,2,0.918367347,0,0,1,0.459183673,1,11.07,11.07,1.011122449,0.0,70,225,225,3,1414210000000000.0,3505.7375,3570.0,257.2160714,282.6977556,7.7,132.3,1.63e-05,2.24e-07,245774.7901,-452.569845,361.6966514,25.65267379,0.000119055,-0.000414428,0.000119058,0.18599447,0.0,0.0,5.280612245,585.7912,-0.618968514,0.091239167,13.0441012,5,1,0,47.93591977
Cu12Sb4S13,18.83181649,0.419697662,217,48,0.525841046,0.048525433,0.332467183,2.029046512,117.6846977,-0.202272,-0.202272,-0.011819621,0.016058921,0.034530486,3.400359216,0.106066017,88,32.065,5,2.225517241,1.586206897,0.485136742,1.826397146,10,4.946492271,0,0.0,0.0,2.967895363,3,1.084423306,2,0,1,0.599286564,2,11.07,25.786875,1.089217598,2.202,70,225,70,3,1274750000000000.0,3420.0,3570.0,168.9194828,249.0211817,7.7,132.3,1.1e-05,5.5e-06,245774.7901,688.7617189,361.6966514,25.65267379,0.001005039,-0.000414428,-0.000414428,-0.062625282,-2.0,3.5,9.136741974,3332.874,-0.379390873,0.098048312,12.45347913,8,1,0,45.1870855
Cu2.72Te2,0.0,0.0,129,16,0.0,0.0,0.573265111,1.584962501,9.509775004,-0.202272,-0.202272,-0.007134467,0.018172272,0.155004198,0.0,0.0,64,63.546,5,1.984745763,1.423728814,0.488365412,1.953461649,10,0.0,10,0.0,0.0,2.441827061,2,0.976730824,0,0,1,0.488365412,1,11.07,11.07,0.226601551,0.0,152,225,225,3,7.07e-05,2610.0,3570.0,231.779661,280.7213921,65.0,75.0,1.63e-05,2.24e-07,245774.7901,-452.569845,361.6966514,25.65267379,0.000119055,-0.000893918,0.000119058,0.187553104,0.0,0.0,3.418557886,428.04512,-2.060561291,0.097037538,13.87307134,5,1,0,48.45905735
Cu2CdSnSe4,25.3538205,0.367119604,121,16,0.645918035,0.166545868,0.322500929,1.75,28.0,-0.202272,-0.202272,0.008647422,0.010206061,0.034020691,3.239961899,0.12973049,89,63.546,5,2.20625,1.75,0.375,1.75,10,0.0,10,0.0,0.0,2.0,4,1.125,2,0,0,0.8125,2,11.07,25.92,0.3995,0.799,14,225,14,3,15054600000000.0,2310.0,3570.0,120.76,203.4161865,8.3,131.7,1.63e-05,1.45e-05,245774.7901,646.9921645,361.6966514,25.65267379,0.000220362,-0.000401584,-0.000401584,-0.161029688,-2.0,4.0,7.65625,1348.106,-0.690314479,0.079362158,12.57857686,7,1,0,43.09703767
Cu2CoSnS4-1,0.0,0.0,186,12,0.0,0.0,0.337038703,1.0,4.0,-0.202272,-0.202272,5.79e-05,0.012799157,0.039086798,0.0,0.0,88,32.065,5,2.245,1.75,0.375,1.75,10,4.625,0,0.0,0.0,2.625,4,1.125,2,3,1,0.6875,2,10.245,25.786875,1.101,2.202,70,225,70,3,1234430000000000.0,2500.0,4720.0,120.9775,203.4955126,7.7,172.3,1.3e-05,9e-06,245774.7901,688.7617189,361.6966514,25.65267379,0.000220362,-0.000414428,-0.000414428,0.100336004,0.0,0.0,8.90625,216.4975975,-0.459273174,0.165755565,12.57857686,14,1,7,49.63328767
Cu2CoSnS4-2,19.62179384,0.385051412,121,16,0.655522769,0.172818719,0.32526764,1.75,28.0,-0.202272,-0.202272,5.79e-05,0.012799157,0.039086798,3.798242078,0.037947332,88,32.065,5,2.245,1.75,0.375,1.75,10,4.625,0,0.0,0.0,2.625,4,1.125,2,3,1,0.6875,2,10.245,25.786875,1.101,2.202,70,225,70,3,1234430000000000.0,2500.0,4720.0,120.9775,203.4955126,7.7,172.3,1.3e-05,9e-06,245774.7901,688.7617189,361.6966514,25.65267379,0.000220362,-0.000414428,-0.000414428,0.100336004,-2.0,4.0,8.90625,865.99039,-0.459273174,0.165755565,12.57857686,14,1,7,49.63328767
Cu2FeSnS4-1,20.02891713,0.384639124,121,16,0.655289269,0.173024631,0.328936762,1.75,28.0,-0.202272,-0.202272,5.79e-05,0.012799157,0.039086798,3.808377756,0.058223707,88,32.065,5,2.23875,1.75,0.375,1.75,10,4.5,0,0.0,0.0,2.625,4,1.125,2,4,1,0.875,2,10.73,25.786875,1.101,2.202,70,229,70,3,1234430000000000.0,2500.0,4910.0,118.4775,204.0512653,7.7,162.3,1.18e-05,1.02e-05,245774.7901,688.7617189,361.6966514,25.65267379,0.000228936,-0.000414428,-0.000414428,0.167505095,-2.0,3.0,8.90625,859.814,-0.459273174,0.147161815,11.01607686,13,1,6,50.27078767
