filename,DensityFeatures__vpa,DensityFeatures__packing fraction,GlobalSymmetryFeatures__spacegroup_num,GlobalSymmetryFeatures__n_symmetry_ops,ChemicalOrdering__mean ordering parameter shell 1,ChemicalOrdering__mean ordering parameter shell 3,MaximumPackingEfficiency__max packing efficiency,StructuralComplexity__structural complexity per atom,StructuralComplexity__structural complexity per cell,AtomicOrbitals__HOMO_energy,AtomicOrbitals__LUMO_energy,AtomicPackingEfficiency__mean simul. packing efficiency,AtomicPackingEfficiency__mean abs simul. packing efficiency,AtomicPackingEfficiency__dist from 1 clusters |APE| < 0.010,CohesiveEnergy__cohesive energy,ElectronegativityDiff__std_dev EN difference,ElementProperty_magpie__MagpieData mode MendeleevNumber,ElementProperty_magpie__MagpieData minimum AtomicWeight,ElementProperty_magpie__MagpieData maximum Row,ElementProperty_magpie__MagpieData mean Electronegativity,ElementProperty_magpie__MagpieData mean NsValence,ElementProperty_magpie__MagpieData avg_dev NsValence,ElementProperty_magpie__MagpieData avg_dev NpValence,ElementProperty_magpie__MagpieData maximum NdValence,ElementProperty_magpie__MagpieData avg_dev NdValence,ElementProperty_magpie__MagpieData mode NdValence,ElementProperty_magpie__MagpieData mean NfValence,ElementProperty_magpie__MagpieData avg_dev NfValence,ElementProperty_magpie__MagpieData avg_dev NValence,ElementProperty_magpie__MagpieData range NpUnfilled,ElementProperty_magpie__MagpieData avg_dev NpUnfilled,ElementProperty_magpie__MagpieData mode NpUnfilled,ElementProperty_magpie__MagpieData maximum NdUnfilled,ElementProperty_magpie__MagpieData minimum NUnfilled,ElementProperty_magpie__MagpieData avg_dev NUnfilled,ElementProperty_magpie__MagpieData mode NUnfilled,ElementProperty_magpie__MagpieData minimum GSvolume_pa,ElementProperty_magpie__MagpieData mode GSvolume_pa,ElementProperty_magpie__MagpieData avg_dev GSbandgap,ElementProperty_magpie__MagpieData mode GSbandgap,ElementProperty_magpie__MagpieData minimum SpaceGroupNumber,ElementProperty_magpie__MagpieData maximum SpaceGroupNumber,ElementProperty_magpie__MagpieData mode SpaceGroupNumber,ElementProperty_matminer__PymatgenData maximum block,ElementProperty_matminer__PymatgenData std_dev electrical_resistivity,ElementProperty_matminer__PymatgenData minimum velocity_of_sound,ElementProperty_matminer__PymatgenData maximum velocity_of_sound,ElementProperty_matminer__PymatgenData mean thermal_conductivity,ElementProperty_matminer__PymatgenData std_dev thermal_conductivity,ElementProperty_matminer__PymatgenData minimum bulk_modulus,ElementProperty_matminer__PymatgenData range bulk_modulus,ElementProperty_matminer__PymatgenData minimum coefficient_of_linear_thermal_expansion,ElementProperty_matminer__PymatgenData range coefficient_of_linear_thermal_expansion,ElementProperty_mp_transport__TransportData maximum sigma_n,ElementProperty_mp_transport__TransportData mode S_p,ElementProperty_mp_transport__TransportData maximum S_n,ElementProperty_mp_transport__TransportData maximum PF_n,ElementProperty_mp_transport__TransportData maximum m_p,ElementProperty_mp_transport__TransportData minimum m_n,ElementProperty_mp_transport__TransportData mode m_n,Miedema__Miedema_deltaH_ss_min,OxidationStates_deml__minimum oxidation state,OxidationStates_deml__maximum oxidation state,WenAlloys__Radii local mismatch,WenAlloys__Total weight,WenAlloys__Lambda entropy,WenAlloys__Electronegativity local mismatch,WenAlloys__Mixing enthalpy,WenAlloys__Interant electrons,WenAlloys__Interant s electrons,WenAlloys__Interant d electrons,WenAlloys__Shear modulus mean
Cr,13.08447894,0.878448456,229,96,0.0,0.0,0.680174762,0.0,0.0,-0.118123,-0.118123,0.023994,0.023994,1.0,4.1,0.0,49,51.9961,4,1.66,1.0,0.0,0.0,5,0.0,5,0.0,0.0,0.0,0,0.0,0,5,6,0.0,6,11.19,11.19,0.0,0.0,229,229,229,3,0.0,5940.0,5940.0,94.0,0.0,160.0,0.0,4.9e-06,0.0,205534.1999,-253.3491945,50.53564017,14.18289415,0.000137009,0.000137033,0.000137033,0.0,0.0,0.0,0.0,103.9922,0.0,0.0,1e-06,6,1,5,116.7
Cs2AgBiBr6,37.90590406,0.579811209,225,192,0.643162539,0.232724585,0.445030018,1.570950594,62.83802378,-0.295334,-0.180198,0.000400791,0.011984621,0.043041282,2.86183071,0.750539806,95,79.904,6,2.329,1.7,0.42,2.04,10,3.2,10,1.4,2.52,6.04,3,0.54,1,0,1,0.36,1,16.33,29.48,0.69936,1.457,12,229,64,3,50174866630.0,1790.0,3505.7375,51.072,166.8535361,1.6,98.4,1.34e-05,5.5e-06,200974.7217,799.3423707,42.78526199,20.90051016,0.001643421,-0.000469544,-0.000469544,0.230651217,-1.0,3.0,18.91974684,4248.334015,-0.142193937,0.37,15.07543379,10,2,0,36.07134521
Cs2AgBiCl6,32.89658229,0.628307409,225,192,0.643160647,0.23280205,0.444841192,1.570950594,62.83802378,-0.298706,-0.180198,0.000400791,0.011984621,0.043041282,3.217192766,0.750539806,94,35.453,6,2.449,1.7,0.42,2.04,10,3.2,0,1.4,2.52,4.64,3,0.54,1,0,1,0.36,1,16.33,24.4975,1.19664,2.493,12,229,64,3,6.432674933,206.0,3505.7375,51.00534,166.8886442,1.1,98.9,1.34e-05,5.5e-06,200974.7217,778.0546601,42.78526199,20.90051016,0.001643421,-0.000568144,-0.000568144,0.230651217,-1.0,3.0,18.91974684,3181.510015,-0.142193937,0.37,15.07543379,10,2,0,36.07134521
Cs2AgInCl6,30.4580828,0.673492523,225,192,0.64198074,0.254069648,0.426142483,1.570950594,62.83802378,-0.298706,-0.290497,0.0020269,0.008783738,0.076149961,3.286899064,0.676897333,94,35.453,6,2.425,1.7,0.42,2.28,10,3.2,0,0.0,0.0,2.32,5,0.78,1,0,1,0.72,1,16.33,24.4975,1.19664,2.493,64,229,64,3,6.432675127,206.0,3505.7375,58.40534,166.1450151,1.1,98.9,1.63e-05,1.58e-05,205785.0644,778.0546601,45.19519666,17.10095134,0.001643421,-0.000568144,-0.000568144,0.351522557,-1.0,3.0,18.56974684,2804.860415,-0.139390069,0.370812329,13.39543379,8,2,0,35.15914521
Cs2AgSbBr6,36.82949274,0.584844999,225,192,0.643138214,0.233429819,0.443293648,1.570950594,62.83802378,-0.295334,-0.185623,0.0020269,0.008783738,0.076149961,2.869614684,0.760841639,95,79.904,6,2.332,1.7,0.42,2.04,10,3.2,10,0.0,0.0,5.2,3,0.54,1,0,1,0.36,1,16.33,29.48,0.69936,1.457,64,229,64,3,50174866630.0,2600.0,3505.7375,52.672,166.2593998,1.6,98.4,1.1e-05,7.9e-06,200974.7217,799.3423707,42.78526199,17.95677256,0.001643421,-0.000469544,-0.000469544,0.171588136,-1.0,3.0,18.56974684,3899.452415,-0.139390069,0.3885,15.15543379,10,2,0,36.78734521
Cs2AgSbCl6,31.94637457,0.633262561,225,192,0.642993291,0.239053562,0.438621524,1.570950594,62.83802378,-0.298706,-0.185623,0.0020269,0.008783738,0.076149961,3.221930255,0.760841639,94,35.453,6,2.452,1.7,0.42,2.04,10,3.2,0,0.0,0.0,2.4,3,0.54,1,0,1,0.36,1,16.33,24.4975,1.19664,2.493,64,229,64,3,6.432675073,206.0,3505.7375,52.60534,166.2957391,1.1,98.9,1.1e-05,7.9e-06,200974.7217,778.0546601,42.78526199,17.95677256,0.001643421,-0.000568144,-0.000568144,0.171588136,-1.0,3.0,18.56974684,2832.628415,-0.139390069,0.3885,15.15543379,10,2,0,36.78734521
Cs2CoCl4,33.51103424,0.743062324,62,8,0.644010432,0.228909863,0.324683792,2.521640636,70.60593782,-0.32038,-0.32038,-0.022918956,0.032468985,0.024296477,3.451397992,0.770746391,94,35.453,6,2.3,1.714285714,0.408163265,2.448979592,7,1.714285714,0,0.0,0.0,2.612244898,1,0.489795918,1,3,1,0.489795918,1,10.245,24.4975,1.221061224,2.493,64,229,64,3,6.546536604,206.0,4720.0,24.57651429,45.72735761,1.1,178.9,1.3e-05,3.28e-06,147998.5402,778.0546601,272.9728542,21.8785579,0.001643421,-0.000568144,-0.000568144,0.684914714,-1.0,2.0,26.01343322,1866.224395,-0.091919763,0.557355326,4.444320194,13,1,7,41.38004305
Cs2CuBr4,37.98616583,0.68834403,62,8,0.572014568,0.197611722,0.33120853,2.521640636,70.60593782,-0.202272,-0.202272,-0.022557821,0.031664847,0.024296477,2.908125527,0.784888527,95,63.546,6,2.188571429,1.571428571,0.489795918,2.448979592,10,4.081632653,10,0.0,0.0,6.204081633,1,0.489795918,1,0,1,0.0,1,11.07,29.48,0.713632653,1.457,64,229,64,3,51062986315.0,3505.7375,3570.0,67.49714286,180.7629716,1.6,138.4,1.63e-05,2.24e-07,245774.7901,799.3423707,361.6966514,25.65267379,0.001643421,-0.000469544,-0.000469544,0.600981808,-1.0,2.0,25.89098424,2595.891615,-0.092584543,0.477763489,9.342279378,7,2,0,36.91004305
Cs2CuCl4,33.05011841,0.753425046,62,8,0.571317512,0.201568782,0.323365819,2.521640636,70.60593782,-0.202272,-0.202272,-0.022557821,0.031664847,0.024296477,3.250555268,0.784888527,94,35.453,6,2.302857143,1.571428571,0.489795918,2.448979592,10,2.448979592,0,0.0,0.0,2.775510204,1,0.489795918,1,0,1,0.0,1,11.07,24.4975,1.221061224,2.493,64,229,64,3,6.546536614,206.0,3570.0,67.43365714,180.8043926,1.1,138.9,1.63e-05,2.24e-07,245774.7901,778.0546601,361.6966514,25.65267379,0.001643421,-0.000568144,-0.000568144,0.600981808,-1.0,2.0,25.89098424,1884.675615,-0.092584543,0.477763489,9.342279378,7,2,0,36.91004305
Cs2InCl5-H2O,24.53623048,0.684785168,62,8,0.722201553,0.305038542,0.328106354,2.913977073,128.2149912,-0.32038,-0.290497,0.025158173,0.027926636,0.032584565,0.0,0.800991573,94,1.00794,6,2.454545455,1.636363636,0.462809917,2.297520661,10,1.652892562,0,0.0,0.0,3.107438017,5,0.876033058,1,0,1,0.743801653,1,6.615,24.4975,1.924363636,2.493,12,229,64,2,12885100000000.0,206.0,3505.7375,14.03928,30.23694444,1.1,89.6942029,1.63e-05,1.58e-05,205785.0644,778.0546601,45.19519666,12.52890978,0.001868154,-0.000568144,-0.000568144,1.099143711,-2.0,3.0,23.87027932,2303.636735,-0.115564559,0.491038152,19.21075009,12,2,0,29.35831382
Cs2KInCl6,34.71324306,0.669997509,225,192,0.637046296,0.279515094,0.403101711,1.570950594,62.83802378,-0.32038,-0.290497,0.024290183,0.033714789,0.042640143,3.384686464,0.53699162,94,35.453,6,2.314,1.7,0.42,2.28,10,1.8,0,0.0,0.0,2.88,5,0.78,1,0,1,0.72,1,24.26,24.4975,1.19664,2.493,64,229,64,2,6.432675118,206.0,3505.7375,25.40534,47.09068191,1.1,89.6942029,1.63e-05,1.58e-05,205785.0644,778.0546601,45.19519666,12.52890978,0.001643421,-0.000568144,-0.000568144,0.666640367,-1.0,3.0,21.46949367,2529.780815,-0.143850091,0.431124658,14.11543379,8,2,0,32.42164521
Cs2NaBiBr6,39.53062359,0.574376014,225,192,0.643008997,0.23860119,0.438988683,1.570950594,62.83802378,-0.295334,-0.180198,-0.017826329,0.023691511,0.031491833,2.914875468,0.652157956,95,22.98976928,6,2.229,1.7,0.42,2.04,10,4.2,10,1.4,2.52,7.44,3,0.54,1,0,1,0.36,1,29.24333333,29.48,0.69936,1.457,12,229,64,2,50174866630.0,1790.0,3505.7375,22.072,54.74762561,1.6,29.4,1.34e-05,5.76e-05,103172.6523,799.3423707,-80.96944956,20.90051016,0.001643421,-0.000469544,-0.000469544,0.398689762,-1.0,3.0,19.17949367,3908.820292,-0.156995524,0.412812329,16.35543379,10,2,0,33.54974521
Cs2NaBiCl6,32.14849333,0.66554722,225,192,0.643132732,0.233611488,0.443009055,1.570950594,62.83802378,-0.32038,-0.180198,-0.017826329,0.023691511,0.031491833,3.300419227,0.652157956,94,22.98976928,6,2.349,1.7,0.42,2.04,10,1.8,0,1.4,2.52,4.32,3,0.54,1,0,1,0.36,1,24.4975,24.4975,1.19664,2.493,12,229,64,2,6.432674928,206.0,3505.7375,22.00534,54.79373641,1.1,29.9,1.34e-05,5.76e-05,103172.6523,778.0546601,-80.96944956,20.90051016,0.001643421,-0.000568144,-0.000568144,0.398689762,-1.0,3.0,19.17949367,2841.996292,-0.156995524,0.412812329,16.35543379,10,2,0,33.54974521
Cs2NaCeBr6,40.07481064,0.589944108,225,192,0.643117343,0.234489723,0.442305229,1.570950594,62.83802378,-0.295334,-0.295334,-0.017408384,0.032791386,0.042640143,3.57628145,0.171201636,95,22.98976928,6,2.139,1.7,0.42,2.4,10,4.68,10,0.1,0.18,7.32,1,0.48,1,9,1,3.78,1,29.24333333,29.48,0.69936,1.457,64,229,64,3,50174866630.0,2100.0,3505.7375,22.372,54.62729923,1.6,20.4,6.3e-06,6.47e-05,48811.60795,799.3423707,298.8756203,36.29955887,0.00214638,-0.000469544,-0.000469544,0.81348711,-1.0,3.0,19.81949367,3633.362692,-0.163444953,0.430224658,7.67543379,9,2,1,33.46174521
Cs2NaCeCl6,34.30332123,0.651038907,225,192,0.643093744,0.235613602,0.44140222,1.570950594,62.83802378,-0.32038,-0.32038,-0.017408384,0.032791386,0.042640143,4.005780247,0.171201636,94,22.98976928,6,2.259,1.7,0.42,2.4,1,0.18,0,0.1,0.18,2.52,1,0.48,1,9,1,3.78,1,24.4975,24.4975,1.19664,2.493,64,229,64,3,6.432675016,206.0,3505.7375,22.30534,54.67414214,1.1,20.9,6.3e-06,6.47e-05,48811.60795,778.0546601,298.8756203,36.29955887,0.00214638,-0.000568144,-0.000568144,0.81348711,-1.0,3.0,19.81949367,2566.538692,-0.163444953,0.430224658,7.67543379,9,2,1,33.46174521
Cs2NaCeI6,49.75779956,0.536919781,225,192,0.643142555,0.233332191,0.443536395,1.570950594,62.83802378,-0.267904,-0.267904,-0.017408384,0.032791386,0.042640143,3.041274786,0.171201636,96,22.98976928,6,1.959,1.7,0.42,2.4,10,4.68,10,0.1,0.18,7.32,1,0.48,1,9,1,3.78,1,29.24333333,43.015,0.50976,1.062,64,229,64,3,8362477.772,2100.0,3505.7375,22.5694,54.48889707,1.6,20.4,6.3e-06,6.47e-05,48811.60795,763.0549179,298.8756203,36.29955887,0.00214638,-0.000457883,-0.000457883,0.81348711,-1.0,3.0,19.81949367,4761.373972,-0.163444953,0.430224658,7.67543379,9,2,1,33.46174521
Cs2NaErCl6,32.13525142,0.682289407,225,192,0.642089423,0.252986581,0.427063692,1.570950594,62.83802378,-0.278577,-0.278577,-0.017354214,0.029467614,0.042640143,3.941145354,0.232443542,94,22.98976928,6,2.271,1.7,0.42,2.4,0,0.0,0,1.2,2.16,2.94,1,0.48,1,0,1,0.18,1,24.4975,24.4975,1.19664,2.493,64,229,64,3,6.432674997,206.0,3505.7375,22.70534,54.5541108,1.1,42.9,1.22e-05,5.88e-05,179309.5148,778.0546601,-49.98716147,18.96256608,0.001643421,-0.000568144,-0.000568144,0.758478595,-1.0,3.0,19.56949367,2675.110692,-0.161880146,0.429024658,6.99543379,19,2,0,35.22774521
Cs2NaEuCl6,33.56622736,0.665335325,225,192,0.643024522,0.238130555,0.43937018,1.570950594,62.83802378,-0.232773,-0.232773,-0.024914893,0.034938862,0.042640143,3.604365267,0.211730961,94,22.98976928,6,2.2655,1.7,0.42,2.4,0,0.0,0,0.7,1.26,2.64,1,0.48,1,0,1,1.08,1,24.4975,24.4975,1.19664,2.493,64,229,64,3,6.432674991,206.0,3505.7375,22.60534,54.579879,1.1,7.2,1.63e-05,5.47e-05,140883.8962,778.0546601,592.4025881,44.88734787,0.001643421,-0.000568144,-0.000568144,0.759915934,-1.0,3.0,20.51949367,2613.930692,-0.164211454,0.429624658,12.11543379,14,2,0,32.85334521
