filename,Descriptors__MaxAbsEStateIndex,Descriptors__MinAbsEStateIndex,Descriptors__MinEStateIndex,Descriptors__qed,Descriptors__SPS,Descriptors__MaxPartialCharge,Descriptors__MinPartialCharge,Descriptors__BCUT2D_MWHI,Descriptors__BCUT2D_LOGPLOW,Descriptors__BCUT2D_MRLOW,Descriptors__AvgIpc,Descriptors__BalabanJ,Descriptors__BertzCT,Descriptors__Chi4v,Descriptors__Ipc,Descriptors__Kappa2,Descriptors__PEOE_VSA6,Descriptors__PEOE_VSA7,Descriptors__PEOE_VSA9,Descriptors__SMR_VSA10,Descriptors__SMR_VSA2,Descriptors__SMR_VSA6,Descriptors__SMR_VSA7,Descriptors__SlogP_VSA1,Descriptors__SlogP_VSA12,Descriptors__SlogP_VSA3,Descriptors__SlogP_VSA6,Descriptors__EState_VSA10,Descriptors__EState_VSA8,Descriptors__VSA_EState10,Descriptors__VSA_EState5,Descriptors__VSA_EState6,Descriptors__VSA_EState8,Descriptors__FractionCSP3,Descriptors__NHOHCount,Descriptors__fr_Al_COO,Descriptors__fr_C_O_noCOO,Descriptors3D__Eccentricity,Descriptors3D__InertialShapeFactor,Descriptors3D__NPR2,Descriptors3D__PMI1,Descriptors3D__PMI2,Descriptors3D__SpherocityIndex
Zn-NN,8.803706656,0.855056689,-5.622297808,0.381110318,45.9047619,0.0,0.0,0.0,0.0,0.0,2.836400975,9.863778887,8800.682155,3.006781101,6556851407.0,9.554131357,0.0,0.0,0.0,11.67123957,0.0,0.0,7.285565806,0.0,0.0,17.60308251,9.984809465,0.0,9.984809465,-5.622297808,-4.927583302,-18.39369103,-44.02094816,0.875,0,0,0,0.809407838,0.000547259,0.939224596,1716.23328,2744.890504,0.66626407
Zn-U,12.85826911,1.770702379,-4.917799421,0.18637265,39.40740741,0.0,0.0,0.0,0.0,0.0,3.117461921,6.916093654,8902.271933,1.623841399,856671000000.0,21.34465899,0.0,0.0,5.483034225,11.93861058,0.0,0.0,25.16622142,7.125946564,0.0,27.43705012,25.16622142,9.589074368,7.125946564,-4.37069891,-5.386948302,-3.841857549,-3.541404757,0.727272727,0,2,2,0.999916983,0.002775219,0.994683833,358.4163564,27668.38068,0.021292841
ZnAc2,10.6259812,1.485331633,-2.919007818,0.39034439,21.33333333,0.0,0.0,0.0,0.0,0.0,1.997929062,3.924113467,6721.715834,0.709279327,805.165412,4.44304067,0.0,0.0,0.0,11.93861058,0.0,0.0,0.0,7.125946564,0.0,27.43705012,0.0,9.589074368,7.125946564,-2.692453704,-2.970663265,0.0,-5.838015637,0.5,0,2,2,0.994924224,0.011739841,0.999530789,85.14006258,845.6987973,0.097390891
ZnEt2,7.210763889,2.66875,-3.09375,0.339656431,49.6,0.0,0.0,0.0,0.0,0.0,1.772997242,4.893994099,7645.577869,0.229639663,484.0282471,4.623376623,0.0,0.0,0.0,0.0,0.0,0.0,9.934529239,0.0,0.0,17.12660344,0.0,0.0,0.0,-3.09375,0.0,0.0,-5.905555556,1.0,0,0,0,0.988637945,0.015197288,0.88557555,58.27194811,343.3039879,0.166036352
ZnMe2,6.644097222,2.140625,-2.333333333,0.309758588,45.33333333,0.0,0.0,0.0,0.0,0.0,1.143155878,3.746417931,7310.862867,0.0,27.43574108,2.623376623,0.0,0.0,0.0,0.0,0.0,0.0,10.89246367,0.0,0.0,17.12660344,0.0,0.0,0.0,-2.333333333,0.0,0.0,0.0,1.0,0,0,0,0.998779491,0.156564444,0.999982421,6.387033957,129.3119286,0.200510492
ZnOA2,13.2745789,2.770471851,-5.32304087,0.045222754,46.82926829,0.0,0.0,0.0,0.0,0.0,0.702995813,7.64601741,10653.82631,2.061341399,2.33e+29,35.24066539,77.43303325,12.7458498,0.0,11.93861058,0.0,0.0,24.20828698,7.125946564,0.0,27.43705012,24.20828698,9.589074368,7.125946564,-4.739565677,-5.900899434,-11.12376346,-8.457295708,0.833333333,0,2,2,0.986421947,6.83e-05,0.865589381,12668.77721,66771.65156,0.045227562
ZnSA2,13.333286,3.029250844,-5.563408986,0.054778913,48.3902439,0.0,0.0,0.0,0.0,0.0,0.67928869,7.75069023,10698.96759,2.061341399,4.94e+32,35.75816783,90.17888305,0.0,0.0,11.93861058,0.0,0.0,0.0,7.125946564,0.0,27.43705012,0.0,9.589074368,7.125946564,-4.836215223,-6.058501689,0.0,-8.588993291,0.944444444,0,2,2,0.985555748,5.95e-05,0.833758777,14014.63481,68997.54324,0.010755438
Zr(CO3)2,9.951134259,0.821018519,-3.783009259,0.402392596,13.33333333,0.0,0.0,0.0,0.0,0.0,1.577978424,2.011653329,28802.83536,2.998704512,75.74296433,1.287459717,0.0,0.0,0.0,12.31073126,0.0,0.0,0.0,11.25270965,0.0,22.02793524,0.0,9.589074368,11.25270965,-3.783009259,0.0,0.0,0.0,0.0,0,0,2,0.994931618,0.012286943,0.999830546,81.3734187,809.1150664,0.135344753
Zr-IOIC,10.8883537,0.0,-10.8883537,0.732261396,44.71428571,0.0,0.0,0.0,0.0,0.0,2.766408819,-2.25e-06,55197.49968,7.095501977,2467937651.0,8.511474065,0.0,0.0,0.0,0.0,1.431199657,0.0,0.0,0.0,0.0,32.23677525,0.0,0.0,0.0,-10.8883537,0.0,0.0,-44.59830971,1.0,1,0,0,0.537983662,0.000396307,0.909424504,2294.745473,2475.692185,0.794230914
[Rh(CO)2Cl]2,10.23990556,1.344691358,-3.225227778,0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,2.066846186,2.85971811,18325.24017,41.18432958,396.8344677,4.457588742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95009953,0.0,44.19680627,0.0,18.6086993,0.0,-6.450455556,0.0,0.0,2.689382716,0.0,0,0,0,0.910002911,0.001255006,0.937640048,747.119903,1689.643995,0.237137175
