Z_product,Z_joint,Z_ops,T_inj,T_rea,t,alpha_inorg,beta_inorg,alpha_org,beta_org,Size
1.1545055,-0.4787843,-1.1549037,180.0,180.0,40.0,0.8107902,0.18920985,0.6584094,0.34159058,14.38
0.59674144,-1.4629998,-1.5620062,25.0,200.0,90.0,0.8450918,0.15490815,0.6709314,0.32906857,6.2000003
3.6051545,-0.7773264,-0.80327606,230.0,230.0,20.0,0.780009,0.21999103,0.68589854,0.31410143,3.2
-1.0048336,-1.6777948,-0.6765324,240.0,240.0,0.5,0.7673758,0.23262414,0.70453733,0.29546267,8.58
-1.0561737,-0.92269903,-1.1250154,25.0,250.0,45.0,0.81844974,0.18155031,0.73263365,0.26736635,16.4
-2.6857946,-0.6322434,-0.70716405,240.0,240.0,2.0,0.7679675,0.23203248,0.7032661,0.2967339,25.289999
-0.62826645,0.12841685,-1.254606,300.0,270.0,180.0,0.8132114,0.18678863,0.5308885,0.46911153,9.0
1.1545055,-0.5899143,0.41992128,160.0,160.0,10.0,0.8095188,0.19048113,0.6815289,0.31847107,7.09
0.71945286,-0.23001367,0.018975645,120.0,120.0,60.0,0.8420588,0.15794118,0.62778324,0.37221676,13.6
-3.4874158,-0.5145845,-0.3244033,180.0,180.0,10.0,0.8004015,0.19959849,0.6852916,0.31470844,28.81
-3.562356,-0.4708133,0.9990515,130.0,130.0,0.75,0.8195869,0.18041307,0.6840252,0.31597477,15.2
-1.3803933,-0.74506,-1.2100981,160.0,240.0,20.0,0.78969055,0.21030945,0.7110285,0.28897145,15.66
3.1271765,-1.0672352,-0.6844935,220.0,220.0,20.0,0.7849516,0.21504834,0.6840222,0.3159778,3.1500003
3.3381593,-1.2465059,1.1396925,25.0,100.0,12.0,0.8463866,0.15361339,0.69088507,0.30911496,0.90000033
1.1545055,-0.48978534,-0.23755111,160.0,160.0,20.0,0.81290567,0.18709427,0.6726391,0.3273609,12.47
-1.6142938,-1.6375252,-0.07217998,200.0,200.0,0.017,0.7872866,0.2127134,0.6976602,0.30233973,14.44
0.687352,-1.6808795,-1.023863,190.0,190.0,300.0,0.8809145,0.119085476,0.4031675,0.5968325,5.1
-0.4452201,-1.2460979,-1.2061965,25.0,320.0,30.0,0.79331213,0.20668788,0.7732452,0.22675478,9.78
0.09432659,-1.137818,-0.3695076,250.0,200.0,15.0,0.7837734,0.21622658,0.66953576,0.3304643,11.55
-1.8619633,-1.5317618,-1.7170017,150.0,285.0,30.0,0.7814067,0.21859327,0.7261035,0.27389655,16.66
-0.24986637,-1.4113213,-1.4005643,300.0,300.0,5.0,0.7367727,0.26322734,0.71153975,0.28846028,7.57
-0.9579921,-0.11815592,-1.2319874,245.0,245.0,180.0,0.8286385,0.17136155,0.5358076,0.46419236,20.0
-5.556771,-1.8649362,0.044566214,180.0,180.0,0.0167,0.7968508,0.20314917,0.6939797,0.3060203,8.31
-1.704436,-1.4995795,0.58557284,170.0,170.0,0.125,0.8015495,0.19845049,0.6920361,0.30796394,9.9
3.3381593,-0.3364173,-0.17437166,160.0,160.0,180.0,0.86090815,0.13909191,0.51738423,0.4826158,4.57
1.1545055,-0.51407945,-1.3286674,220.0,220.0,60.0,0.799508,0.20049204,0.6478662,0.35213375,12.88
0.28806418,-1.8910793,-0.6803466,200.0,200.0,30.0,0.7981797,0.2018203,0.67134315,0.32865685,3.6799996
2.084927,-1.7537004,-0.8565738,180.0,220.0,30.0,0.79577047,0.20422949,0.68718565,0.31281433,2.9000003
-0.010844635,-1.2505199,1.44066,25.0,25.0,0.0167,0.8601883,0.13981164,0.6646335,0.33536646,3.45
0.2470844,2.1288471,0.13973635,100.0,100.0,60.0,0.84963083,0.1503692,0.6237106,0.37628946,27.96
3.3381593,-0.62983316,-0.7076906,25.0,250.0,30.0,0.8134682,0.18653172,0.7444101,0.2555899,4.32
1.4853187,-1.6267568,-1.5417352,25.0,310.0,60.0,0.80683845,0.19316155,0.7469126,0.25308743,4.5
2.084927,-1.2981778,-0.6844935,220.0,220.0,20.0,0.7849516,0.21504834,0.6840222,0.3159778,6.1
0.301921,-2.1637435,-0.5327841,280.0,200.0,30.0,0.78390557,0.21609445,0.6464774,0.35352263,6.5
-2.64964,0.9868146,1.3595257,70.0,70.0,0.167,0.843764,0.156236,0.67316395,0.32683605,22.099998
0.84679663,-1.8694222,-0.6137165,168.0,168.0,100.0,0.8351665,0.1648335,0.5991229,0.40087718,4.44
0.9524719,-0.19548312,-0.6962879,170.0,170.0,30.0,0.8118502,0.18814977,0.6655619,0.33443812,13.88
-0.5411444,1.756223,-0.56405246,210.0,210.0,15.0,0.7879716,0.21202838,0.68653154,0.31346843,33.0
0.84679663,-0.7867955,0.93464243,140.0,140.0,5.0,0.81666446,0.18333557,0.68216664,0.31783336,6.35
1.9868374,-1.222245,-0.32338563,220.0,220.0,1.0,0.77777374,0.22222628,0.70047796,0.29952207,3.5000002
1.6144052,-1.2902837,-1.096103,150.0,180.0,60.0,0.8222662,0.17773375,0.64939815,0.35060188,2.9999998
-1.6142938,-1.6672151,1.4399993,25.0,25.0,0.167,0.86022836,0.13977166,0.6644973,0.33550268,9.48
